rule_id,rule_name,rule_name_zh,rule_description,detection_logic,comparison_mode,threshold_params,distribution_assumption,confidence_level,weight,severity_level,applicable_disciplines,excluded_disciplines,reference_cases,false_positive_rate,created_date,updated_date,version,is_active,notes
A001,Hyper_production,超高产,年均发文量显著高于学科基线，可能暗示论文工厂或数据交易,avg_papers_per_year > benchmark_median + z_threshold * benchmark_mad AND career_tier != 'top',individual,"{""z_threshold"": 1.0, ""direction"": ""high""}",lognormal,0.95,1.0,2,"[""ALL""]",,"[""CASE_001"", ""CASE_002""]",,2026-05-01 08:09:53,,1.0,1,
A002,Citation_anomaly,引用异常,h_index或单篇被引中位数异常低/高，可能暗示引用操纵或质量低下,h_index < benchmark_median - z_threshold * benchmark_mad OR median_citations_per_paper < benchmark_median - z_threshold * benchmark_mad,individual,"{""z_threshold"": 1.0, ""direction"": ""low""}",lognormal,0.95,1.0,2,"[""ALL""]",,"[""CASE_002"", ""CASE_003""]",,2026-05-01 08:09:53,,1.0,1,
A003,Coauthor_concentration,合作者高度集中,top3合作者发文占比过高，可能暗示导师霸凌、挂名或系统性造假,coauthor_concentration > threshold,individual,"{""z_threshold"": 1.0, ""threshold"": 0.6, ""direction"": ""high""}",normal,0.95,1.0,2,"[""ALL""]",,"[""CASE_001"", ""CASE_004""]",,2026-05-01 08:09:53,,1.0,1,
A004,Fast_publication,异常快速发表,投稿到发表的中位数审稿天数显著低于期刊基线，可能暗示假同行评审,median_review_days < benchmark_median - z_threshold * benchmark_mad AND suspicious_fast_track_count >= 2,individual,"{""z_threshold"": 1.0, ""direction"": ""fast""}",normal,0.95,1.0,2,"[""ALL""]",,"[""CASE_005""]",,2026-05-01 08:09:53,,1.0,1,
A005,Retraction_history,撤稿历史,存在撤稿记录或关注表达式，直接触发,retraction_count > 0 OR expression_of_concern_count > 0,individual,"{""z_threshold"": 0.5}",normal,0.95,1.0,2,"[""ALL""]",,"[""CASE_006"", ""CASE_007""]",,2026-05-01 08:09:53,,1.0,1,
A006,Cross_discipline_overreach,跨领域过度延伸,跨学科数量显著高于同群基线，可能暗示挂名或论文工厂,cross_discipline_count > benchmark_median + z_threshold * benchmark_mad,peer_group,"{""z_threshold"": 1.5}",normal,0.95,0.8,2,"[""ALL""]",,"[""CASE_008""]",,2026-05-01 08:09:53,,1.0,1,
A007,First_author_discrepancy,一作比例异常,一作比例异常低（导师霸凌、挂名）或异常高（孤立研究者）,first_author_ratio < low_threshold OR first_author_ratio > high_threshold,individual,"{""low_threshold"": 0.1, ""high_threshold"": 0.9}",normal,0.95,0.8,1,"[""ALL""]",,[],,2026-05-01 08:09:53,,1.0,1,
A008,Funding_anomaly,基金命中率异常,基金命中率显著高于学科基线，可能暗示数据交易或关系网络,funding_hit_rate > benchmark_median + z_threshold * benchmark_mad AND career_tier != 'top' AND career_tier != 'leading',individual,"{""z_threshold"": 1.5}",normal,0.95,0.8,2,"[""ALL""]",,[],,2026-05-01 08:09:53,,1.0,1,
A009,Self_citation_spike,自引率突增,自引率显著高于学科基线，可能暗示引用操纵,self_citation_rate > benchmark_median + z_threshold * benchmark_mad,individual,"{""z_threshold"": 1.5}",normal,0.95,0.8,2,"[""ALL""]",,[],,2026-05-01 08:09:53,,1.0,1,
A010,Journal_tier_mismatch,期刊层级错配,长期发表期刊层级与机构层级不匹配，可能暗示买卖论文,avg_journal_tier > institution_tier + 2,peer_group,"{""tier_gap"": 2}",normal,0.95,0.6,1,"[""ALL""]",,[],,2026-05-01 08:09:53,,1.0,1,
